County,PCTOBAMA,Votes Obama,Pop2010,PopChange,PopPerSqMile,PctWhite,PctBlack,PctAmericanIndian,PctAsian,PctHisp,DiversityIndex,HousingUnits,PctVacant,pct_Uninsured,HS_grad_rate,post_sec_edu,pct_unemployed
Alamance,0.43,28341,151131,0.16,356.5,0.71,0.19,0.01,0.01,0.11,50.6,66576,0.1,22,76,55.4,12
Alexander,0.27,4591,37198,0.11,143.1,0.9,0.06,0,0.01,0.04,22.6,16189,0.11,21,76,41.6,14.3
Alleghany,0.31,1574,11155,0.05,47.5,0.92,0.01,0,0.01,0.09,21.8,8094,0.41,25,86,42.1,11.4
Anson,0.62,6894,26948,0.07,50.7,0.47,0.49,0.01,0.01,0.03,55.7,11576,0.16,16,66,29.2,14.8
Ashe,0.33,4100,27281,0.12,64,0.96,0.01,0,0,0.05,13.3,17342,0.32,25,73,42,11.4
Avery,0.24,1861,17797,0.04,72,0.92,0.04,0,0,0.05,18.6,13890,0.52,30,81,52.3,8.8
Beaufort,0.4,9399,47759,0.06,57.7,0.68,0.26,0,0,0.07,49.4,24688,0.19,19,74,49.5,10.9
Bertie,0.66,6537,21282,0.08,30.4,0.35,0.63,0.01,0.01,0.01,49.4,9822,0.15,18,73,36.9,10.5
Bladen,0.51,8277,35190,0.09,40.2,0.56,0.35,0.02,0,0.07,57.8,17718,0.19,15,68,51.6,11.7
Brunswick,0.39,21932,107431,0.47,126.8,0.83,0.11,0.01,0.01,0.05,33.4,77482,0.4,22,78,50.2,11
Buncombe,0.56,70066,238318,0.16,362.9,0.87,0.06,0,0.01,0.06,28.2,113365,0.11,21,76,63.7,8.6
Burke,0.38,13577,90912,0.02,179.3,0.84,0.07,0,0.04,0.05,31,40879,0.12,19,84,45.2,14.5
Cabarrus,0.39,32453,178011,0.36,492.1,0.75,0.15,0,0.02,0.09,45.8,71937,0.09,21,77,61.9,11.2
Caldwell,0.31,10795,83029,0.07,176.1,0.9,0.05,0,0.01,0.05,21.6,37659,0.11,16,79,47,15.4
Camden,0.32,1456,9980,0.45,41.5,0.82,0.13,0,0.02,0.02,32.8,4104,0.11,26,79,64.3,8
Carteret,0.29,10197,66469,0.12,131.3,0.89,0.06,0.01,0.01,0.03,23.3,48179,0.4,22,79,59.5,8.2
Caswell,0.48,5183,23719,0.01,55.8,0.63,0.34,0,0,0.03,51.2,10619,0.14,19,67,43.7,12.6
Catawba,0.35,23954,154358,0.09,387.1,0.82,0.08,0,0.04,0.08,37.8,67886,0.1,20,84,53.6,14.4
Chatham,0.52,18252,63505,0.29,93.1,0.76,0.13,0.01,0.01,0.13,46.4,28753,0.1,27,75,58,8.1
Cherokee,0.26,3339,27444,0.13,60.3,0.94,0.01,0.01,0.01,0.03,15.2,17515,0.33,23,86,54.9,14.6
Chowan,0.47,3507,14793,0.02,85.8,0.62,0.34,0,0,0.03,51.1,7289,0.17,19,74,53.2,11.1
Clay,0.28,1573,10587,0.21,49.3,0.97,0.01,0,0,0.02,9.7,7140,0.35,25,86,58.7,11.2
Cleveland,0.39,16734,98078,0.02,211.3,0.76,0.21,0,0.01,0.03,40.6,43373,0.11,16,77,50.3,14.6
Columbus,0.46,10973,58098,0.06,62,0.62,0.31,0.03,0,0.05,54.2,26042,0.14,15,74,47.9,12.4
Craven,0.41,18556,103505,0.13,146,0.7,0.22,0.01,0.02,0.06,49.8,45002,0.11,22,77,63.2,9.8
Cumberland,0.6,74991,319431,0.05,489.7,0.51,0.37,0.02,0.02,0.1,64.8,135524,0.1,19,80,66.5,9.2
Currituck,0.32,3521,23547,0.3,89.9,0.9,0.06,0.01,0.01,0.03,21.3,14453,0.39,26,79,56.2,7
Dare,0.41,7258,33920,0.13,88.5,0.92,0.03,0,0.01,0.07,21.4,33492,0.57,27,91,62.4,9.6
Davidson,0.29,20291,162878,0.11,294.7,0.84,0.09,0.01,0.01,0.06,31.9,72655,0.11,19,67,47,12.6
Davie,0.28,5652,41240,0.18,156.1,0.88,0.06,0,0.01,0.06,26.6,18238,0.11,24,78,56.7,11.4
Duplin,0.44,8923,58505,0.19,71.7,0.57,0.25,0.01,0,0.21,63.5,25728,0.13,27,71,37,9.1
Durham,0.76,109185,267587,0.2,935.7,0.46,0.38,0.01,0.05,0.14,67.3,120217,0.09,21,75,69.9,7.9
Edgecombe,0.68,18249,56552,0.02,111.9,0.39,0.57,0,0,0.04,53.3,24838,0.13,14,77,43.8,16.1
Forsyth,0.53,91606,350670,0.15,859.2,0.62,0.26,0,0.02,0.12,58.2,156872,0.1,20,77,61.7,9.7
Franklin,0.48,13317,60619,0.28,123.3,0.66,0.27,0.01,0.01,0.08,52.6,26577,0.13,21,77,47.4,10.4
Gaston,0.37,32903,206086,0.08,578.8,0.78,0.15,0,0.01,0.06,40,88686,0.1,17,75,53.2,14
Gates,0.52,2745,12197,0.16,35.8,0.64,0.33,0.01,0,0.01,49.3,5208,0.1,25,80,50.7,7.4
Graham,0.29,1115,8861,0.11,30.3,0.9,0,0.06,0,0.02,19.9,5930,0.38,24,84,39.7,16.1
Granville,0.52,13529,59916,0.24,112.7,0.6,0.33,0.01,0.01,0.08,55.9,22827,0.1,20,80,50,10.3
Greene,0.46,3761,21362,0.13,80.3,0.51,0.37,0.01,0,0.14,63.5,8213,0.11,30,62,44.9,10.6
Guilford,0.58,145483,488406,0.16,756.4,0.57,0.33,0.01,0.04,0.07,59.6,218017,0.1,21,84,64.2,11
Halifax,0.66,16931,54691,-0.05,75.5,0.4,0.53,0.04,0.01,0.02,56.4,25781,0.15,14,74,45,13.1
Harnett,0.4,16858,114678,0.26,192.7,0.68,0.21,0.01,0.01,0.11,53.9,46731,0.11,25,72,57.9,11.1
Haywood,0.42,11742,59036,0.09,106.6,0.96,0.01,0.01,0,0.03,12.2,34954,0.27,19,80,57.4,9.8
Henderson,0.36,18519,106740,0.2,286.1,0.89,0.03,0,0.01,0.1,28.3,54710,0.17,24,83,58.3,9.1
Hertford,0.72,7815,24669,0.09,69.9,0.36,0.61,0.01,0.01,0.03,52.3,10635,0.12,16,68,48.4,9.3
